Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud,posee_conectividad
Buenos Aires,25 de Mayo,25 de Mayo,23408,SI,SI,NO,SI,SI,SI,SI,SI,SI,6854100,-35.4339385892588,-60.1731209454056,SI
Buenos Aires,25 de Mayo,Agustín Mosconi,280,NO,NO,NO,NO,NO,NO,SI,NO,NO,6854010,-35.7392169542026,-60.5590634621789,SI
Buenos Aires,25 de Mayo,Del Valle,899,SI,NO,NO,NO,SI,NO,NO,SI,SI,6854020,-35.8973453887603,-60.7316089512944,SI
Buenos Aires,25 de Mayo,Ernestina,145,SI,NO,NO,NO,NO,NO,NO,NO,NO,6854030,-35.2702340519789,-59.5575034078873,SI
Buenos Aires,25 de Mayo,Gobernador Ugarte,547,NO,NO,NO,NO,NO,SI,NO,NO,NO,6854040,-35.1643973648093,-60.0813577815069,SI
Buenos Aires,25 de Mayo,Lucas Monteverde,63,NO,NO,NO,NO,NO,SI,NO,NO,NO,6854050,-35.4838272164734,-59.9880647932831,SI
Buenos Aires,25 de Mayo,Norberto de la Riestra,4524,NO,SI,NO,NO,NO,SI,SI,SI,SI,6854060,-35.2727788695321,-59.7719327250509,SI
Buenos Aires,25 de Mayo,Pedernales,1432,SI,NO,NO,NO,NO,NO,NO,NO,SI,6854070,-35.2666085074294,-59.6306574695384,SI
Buenos Aires,25 de Mayo,San Enrique,279,NO,NO,NO,NO,NO,NO,SI,NO,NO,6854080,-35.7785028686085,-60.3546454811901,SI
Buenos Aires,25 de Mayo,Valdés,579,NO,NO,NO,NO,NO,NO,SI,NO,SI,6854090,-35.6488128268597,-60.4672591673156,SI
Buenos Aires,9 de Julio,12 de Octubre,219,NO,NO,NO,NO,NO,SI,SI,NO,NO,6588030,-35.607730780146,-60.9182929927645,SI
Buenos Aires,9 de Julio,9 de Julio,36494,SI,SI,SI,SI,NO,SI,SI,SI,SI,6588100,-35.4447435053964,-60.8843433362719,SI
Buenos Aires,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),1853,SI,NO,NO,NO,NO,NO,SI,SI,SI,6588010,-35.2929819536873,-61.4072542128,SI
Buenos Aires,Carlos Tejedor,Curarú,422,NO,NO,NO,NO,NO,NO,SI,NO,NO,6154030,-35.6403503028113,-62.1924372294866,SI
Buenos Aires,Carlos Tejedor,Timote,526,NO,NO,NO,NO,NO,NO,SI,NO,NO,6154040,-35.3477615165229,-62.2246532791856,SI
Buenos Aires,Carlos Tejedor,Tres Algarrobos (Est. Cuenca),3201,NO,NO,NO,NO,SI,NO,SI,SI,SI,6154050,-35.1979815144911,-62.7730814064669,SI
Buenos Aires,Carmen de Areco,Carmen de Areco,12775,SI,SI,SI,SI,NO,SI,SI,SI,SI,6161010,-34.3776987251735,-59.8229019801033,SI
Buenos Aires,Carmen de Areco,Pueblo Gouin,122,NO,NO,NO,NO,NO,SI,NO,NO,NO,6161020,-34.4951191416005,-59.8029737383366,SI
Buenos Aires,Carmen de Areco,Tres Sargentos,391,NO,NO,NO,NO,NO,SI,SI,NO,SI,6161030,-34.4664778301466,-60.0008697422009,SI
Buenos Aires,Castelli,Castelli,6859,SI,SI,NO,SI,SI,SI,SI,SI,SI,6168010,-36.091694119436,-57.8071801619355,SI
Buenos Aires,Castelli,Centro Guerrero,114,NO,NO,NO,SI,NO,SI,NO,NO,NO,6168020,-36.0570621940227,-57.8235422591576,SI
Buenos Aires,Castelli,Cerro de la Gloria,107,NO,NO,NO,SI,NO,NO,NO,SI,NO,6168030,-35.9760530599951,-57.4487354447874,SI
Buenos Aires,Chacabuco,Castilla,689,NO,NO,NO,NO,NO,SI,SI,NO,NO,6210010,-34.6131247014799,-59.9005194580559,SI
Buenos Aires,Chacabuco,Chacabuco,38418,SI,SI,SI,SI,NO,SI,SI,SI,SI,6210020,-34.6429843999409,-60.4701843504346,SI
Buenos Aires,Chacabuco,Los Angeles,54,NO,NO,NO,NO,NO,NO,NO,SI,SI,6210030,-34.4575064000002,-60.1801845132051,SI
Buenos Aires,Chacabuco,O'Higgins,1206,SI,NO,NO,SI,NO,SI,SI,SI,SI,6210040,-34.5854707868254,-60.6986325840689,SI
Buenos Aires,General Juan Madariaga,General Juan Madariaga,18089,SI,NO,SI,SI,NO,NO,SI,SI,SI,6315010,-36.9967730012079,-57.1374769071298,SI
Buenos Aires,General La Madrid,General La Madrid,8073,SI,NO,SI,SI,NO,SI,SI,SI,SI,6322010,-37.2503992475804,-61.2595794125711,SI
Buenos Aires,General La Madrid,La Colina,663,NO,NO,NO,NO,NO,NO,SI,NO,NO,6322020,-37.3607690235166,-61.5348487870647,SI
